ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
309,Diffusion Transformer Policy,2024,arXiv.org,n/a,n/a,n/a,2410.15959,2024-10-21,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2410.15959,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/d1d15a14e3c07a5add8e93c5d9a7350fede51c35; https://arxiv.org/abs/2410.15959; DOI 10.48550/arXiv.2410.15959; https://openalex.org/W4404089072,reports-results,simplerenv-result-unattributed,not reported,Table 1 reports Google Robot SimplerEnv task success rates for DiT Policy/Ours: coke can match 72.7 and variant 60.0; move near match 56.7 and variant 57.5; drawer match 46.3 and variant 37.5. The paper does not tabulate an overall Google Robot average and reports no WidowX result.,,,,,,,,,,"Local full text /tmp/simplerenv_audit/s2_texts/d1d15a14e3c07a5add8e93c5d9a7350fede51c35.txt, Table 1 lines 299-312 and Section 4.2 lines 340-350.",high,weight-but-not-for-number,,"The tracked row uses older Diffusion Transformer Policy SimplerEnv task numbers: coke can 72.7/60.0, move near 56.7/57.5, and drawer 46.3/37.5. The current official Dita/RoboDita repository provides Google Drive checkpoint links including dit_policy_checkpoint.pth, and its README includes a SimplerEnv table. That public table reports Dita values 0.837/0.855, 0.760/0.730, and 0.463/0.375, which do not match the tracked older paper values except for drawer. The public checkpoint is therefore a related Dita checkpoint, but public evidence does not tie it to the tracked reported numbers. No large checkpoint was downloaded.",medium,Section 4.2 evaluates on Google Robot SimplerEnv with matching and variant task results; no clean suite average is provided.,high,official-ish,"Reports Google Robot/Fractal matching and variant task-level success rates under the SimplerEnv evaluation setup, though no suite average is tabulated."
310,Diorama: Unleashing Zero-Shot Single-View 3D Indoor Scene Modeling,2024,IEEE International Conference on Computer Vision,IEEE/CVF International Conference on Computer Vision (ICCV 2025),"CVF Open Access ICCV 2025 page for 'Diorama: Unleashing Zero-shot Single-view 3D Indoor Scene Modeling' lists it in Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), 2025, pp. 8896-8907, with matching BibTeX.",high,2411.19492,2024-11-29,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/ICCV51701.2025.00832,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/61d161e19a693b0fb6d3b80559aedfd0d30ceeb4; https://arxiv.org/abs/2411.19492; DOI 10.1109/ICCV51701.2025.00832,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
311,Dream to Manipulate: Compositional World Models Empowering Robot Imitation Learning with Imagination,2024,International Conference on Learning Representations,International Conference on Learning Representations,OpenReview/ICLR 2025 listing for Dream to Manipulate.,high,2412.14957,2024-12-19,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2412.14957,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ae4777da2f510f459e6e87c174d86d2564024d35; https://arxiv.org/abs/2412.14957; DOI 10.48550/arXiv.2412.14957,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local text has the SIMPLER seed only in references (Li et al., arXiv:2405.05941) and does not use the SimplerEnv benchmark; the phrase 'simpler demonstrations' is generic, not the benchmark.",high,,
312,Effective Tuning Strategies for Generalist Robot Manipulation Policies,2024,IEEE International Conference on Robotics and Automation,IEEE International Conference on Robotics and Automation,IEEE DOI 10.1109/ICRA55743.2025.11127492 indicates ICRA 2025.,high,2410.01220,2024-10-02,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/ICRA55743.2025.11127492,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/72cd26d8ae3877cba7f83a8bd99d48a1939d2f04; https://arxiv.org/abs/2410.01220; DOI 10.1109/ICRA55743.2025.11127492,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Paper cites/mentions SIMPLER as motivation but explicitly says SIMPLER does not support their study because it lacks a training dataset; experiments are on RLBench.,high,,
313,Efficient Diffusion Transformer Policies with Mixture of Expert Denoisers for Multitask Learning,2024,International Conference on Learning Representations,International Conference on Learning Representations,OpenReview/ICLR 2025 listing for Efficient Diffusion Transformer Policies with Mixture of Expert Denoisers.,high,2412.12953,2024-12-17,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2412.12953,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f9c20da09df84344f06159b0133306ec95e84d37; https://arxiv.org/abs/2412.12953; DOI 10.48550/arXiv.2412.12953; https://openalex.org/W4405562544,reports-results,simplerenv-result-unattributed,not reported,"Table 6 reports SIMPLER average success/rank across all tasks: OpenVLA 23.70% / 1.95, Octo-Base 17.75% / 2.1, MoDE 26.30% / 1.65; 2952 evaluations.",,,,,,,,,,"Local text Appendix A.2.1/Table 6, lines 1300-1325.",high,number-associated weight available,https://huggingface.co/mbreuss/MoDE_Pretrained,"The tracked number is Table 6 SIMPLER average success rate 26.30 for MoDE after 300k-step pretraining on the small OXE subset. The paper text ties the SIMPLER evaluation to the pretrained MoDE variant, and the official repository states that the authors provide the pretrained checkpoint after 300k steps on that same OXE subset. The Hugging Face model card for mbreuss/MoDE_Pretrained repeats the 300k-step OXE pretraining description, is linked from the project page as Weights, and metadata confirms a public model_cleaned.safetensors file. This is the reported-number checkpoint.",high,"Paper evaluates MoDE on SIMPLER real2sim variants of BridgeV2 and Google Fractal, but reports a combined all-task average rather than clean per-suite averages.",high,official-ish,"Reports success rates on the standard Google Robot and WidowX/Bridge SIMPLER tasks, although the headline average mixes all tasks."
314,Human-Centric Framework for Robotic Assembly for Industry of the Future,2024,International Journal of Precision Engineering and Manufacturing,International Journal of Precision Engineering and Manufacturing,"Springer DOI page for 10.1007/s12541-024-01176-4, International Journal of Precision Engineering and Manufacturing.",high,,n/a,n/a,10.1007/s12541-024-01176-4,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/1084638cd9ee41a3d3327ebefd6cb3b79883e554; DOI 10.1007/s12541-024-01176-4,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"No local full text was available; free search found only metadata/abstract pages, not a source sufficient to audit SimplerEnv usage beyond citation-graph provenance.",low,,
315,IGOR: Image-GOal Representations are the Atomic Control Units for Foundation Models in Embodied AI,2024,preprint/unknown,n/a,n/a,n/a,2411.00785,2024-10-17,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/3ff668d77e5584b66e96b617fcda6c400b56195f; https://arxiv.org/abs/2411.00785,reports-results,simplerenv-result-unattributed,not reported,"Figure 6 reports success rates for IGOR vs. scratch on SIMPLER Google Robot tasks (Pick Coke Can, Move Near, Open/Close Drawer) after fine-tuning on 1% of RT-1; exact values are figure-only in converted text.",,,,,,,,,,"Local text Section 3.4.1/Figure 6, lines 407-435.",high,not-found,,"The tracked result is the Figure 6 SIMPLER Google Robot low-data policy-learning comparison after fine-tuning on 1% of RT-1. The official Microsoft Research project page links only the paper and media; it describes the SIMPLER result but provides no code, model, checkpoint, or download link. The arXiv page has no associated code/data link, exact-title searches did not find an official code or model release, and Hugging Face searches/listings for the apparent Microsoft/author organization did not reveal IGOR weights. No public artifact was found for the fine-tuned low-level policy that produced the tracked figure.",high,"Paper evaluates IGOR on Google Robot tasks in the SIMPLER simulator, but does not provide a clean text-extracted VM or VA suite average.",high,official-ish,"Reports SIMPLER Google Robot task success rates for Pick Coke Can, Move Near, and Open/Close Drawer, but only as figure-level task results."
316,Investigating the Role of Instruction Variety and Task Difficulty in Robotic Manipulation Tasks,2024,Conference on Empirical Methods in Natural Language Processing,Conference on Empirical Methods in Natural Language Processing (EMNLP 2024),"ACL Anthology page for 'Investigating the Role of Instruction Variety and Task Difficulty in Robotic Manipulation Tasks' lists it in Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing, pages 19389-19424, Miami, Florida, USA, Association for Computational Linguistics, DOI 10.18653/v1/2024.emnlp-main.1080.",high,2407.03967,2024-07-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2407.03967,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f970e9ff0c07e639a96772c644a2b464afd01141; https://arxiv.org/abs/2407.03967; DOI 10.48550/arXiv.2407.03967,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
317,IRASim: A Fine-Grained World Model for Robot Manipulation,2024,IEEE International Conference on Computer Vision,IEEE/CVF International Conference on Computer Vision (ICCV 2025),"CVF Open Access ICCV 2025 page for 'IRASim: A Fine-Grained World Model for Robot Manipulation' lists it in Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), 2025, pp. 9834-9844, with matching BibTeX.",high,2406.14540,2024-06-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/ICCV51701.2025.00917,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/280f2ea5ac05cab2d5a85c74f0a23257c7947690; https://arxiv.org/abs/2406.14540; DOI 10.1109/ICCV51701.2025.00917,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
318,LADEV: A Language-Driven Testing and Evaluation Platform for Vision-Language-Action Models in Robotic Manipulation,2024,arXiv.org,n/a,n/a,n/a,2410.05191,2024-10-07,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2410.05191,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/d55089f2882b37fac1a617dc6d08fb00645e96f5; https://arxiv.org/abs/2410.05191; DOI 10.48550/arXiv.2410.05191; https://openalex.org/W4403324124,reports-results,simplerenv-result-unattributed,not reported,"Tables I-IV report LADEV/SimplerEnv-based VLA success rates across generated Pick Up, Move Near, Put On, and Put In tests; e.g., Table I averages include RT-1-400k Pick Up 35.0%, OpenVLA-7b Move Near 12.6%, and low Put On/Put In rates.",,,,,,,,,,"Local text Section IV-C/Tables I-IV, lines 300-380.",high,weight-but-not-for-number,,"The tracked LADEV row is an evaluation-platform paper reporting success rates for seven existing VLA models under LADEV/SimplerEnv-generated tests, not a LADEV-trained policy checkpoint. The paper says code will be made available soon, the official supplementary site's replication package page currently says Code Coming Soon, and exact-title GitHub search plus Hugging Face model search found no public LADEV code/model/checkpoint artifact. Public RT-1/RT-X, Octo, and OpenVLA weights or setup paths exist through their own projects, but those are related evaluated-policy weights, not a LADEV reported-number artifact or pinned rollout/checkpoint release. No large checkpoint was downloaded.",medium,"Paper builds LADEV on SimplerEnv and reports VLA success rates under generated object, instruction, object-source, lighting, and camera-condition tests; these are not one of the three canonical sortable suites.",high,otherwise,"Reports LADEV-generated SimplerEnv-based tests with generated objects, instructions, lighting, and camera conditions rather than a standard VM, VA, or WidowX/Bridge suite."
319,Latent Action Pretraining from Videos,2024,International Conference on Learning Representations,International Conference on Learning Representations,Local text line 1070: published as a conference paper at ICLR 2025.,high,2410.11758,2024-10-15,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2410.11758,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/5e25c253b0c3fb159c9581131e22b6e9f615619c; https://arxiv.org/abs/2410.11758; DOI 10.48550/arXiv.2410.11758,reports-results,widowx-bridge,25 successful trajectories per task for fine-tuning; 24 evaluation rollouts per task,SIMPLER WidowX/Bridge four-task results: Table 11 LAPA average success 57.3% after BridgeV2 pretraining; Table 12 LAPA average success 52.1% after Something-Something v2 pretraining.,,,57.3,,,,,51.0,VPT,Local text SIMPLER setup lines 1057-1077; Table 11 lines 1366-1377; Table 12 lines 1409-1419.,high,weight-but-not-for-number,,"The tracked WidowX/Bridge number is the SIMPLER policy result after LAPA pretraining and then action fine-tuning on SIMPLER rollouts, with Table 11 LAPA BridgeV2 average 57.3 and Table 12 SthV2 average 52.1. The official repo releases LAPA code, OpenX/BridgeV2/SthV2-style model files, and a `finetune_simpler.sh` recipe, but the README states that latent-action output still needs fine-tuning to map to the real action space. The Hugging Face org lists LAPA-7B-openx plus LAPA-7B-Bridgev2 and LAPA-7B-Sthv2 files, but I found no public final SIMPLER-fine-tuned policy checkpoint or evaluation artifact for the tracked 57.3/52.1 numbers.",high,"Paper evaluates on four SIMPLER tasks using the 7-DoF WidowX arm and reports detailed success, grasping, and moving rates.",high,official-ish,Reports standard SimplerEnv WidowX/Bridge four-task success-rate averages with the stated 24-rollout-per-task evaluation.
320,Learning to Manipulate Anywhere: A Visual Generalizable Framework For Reinforcement Learning,2024,Conference on Robot Learning,Conference on Robot Learning (CoRL 2024),"OpenReview forum for 'Learning to Manipulate Anywhere: A Visual Generalizable Framework For Reinforcement Learning' lists Published 05 Sept 2024, Last Modified 08 Nov 2024, CoRL 2024; the OpenReview PDF header states '8th Conference on Robot Learning (CoRL 2024), Munich, Germany'.",high,2407.15815,2024-07-22,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2407.15815,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/6d32eb3a43594c723e1435dcbdad9cf4a5c78a61; https://arxiv.org/abs/2407.15815; DOI 10.48550/arXiv.2407.15815,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
321,Manipulation Facing Threats: Evaluating Physical Vulnerabilities in End-to-End Vision Language Action Models,2024,arXiv.org,n/a,n/a,n/a,2409.13174,2024-09-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2409.13174,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9ed316c0e8e6e6901ada47d6bb8fe47a016e8c80; https://arxiv.org/abs/2409.13174; DOI 10.48550/arXiv.2409.13174; https://openalex.org/W4403755050,reports-results,simplerenv-result-unattributed,not reported,"Table II reports OpenVLA failure rates (%) on six SimplerEnv tasks under physical attacks; clean average failure rate is 40.8%, Blur 87.5%, Gaussian Noise 39.2%, BC(B) 45.8%, BC(D) 35.8%, and WB adversarial patch 100.0%.",,,,,,,,,,"Local text Section IV/Table II, lines 218-236 and 310-326.",high,number-associated weight available,https://huggingface.co/openvla/openvla-7b,"The tracked SimplerEnv number is an OpenVLA failure-rate evaluation under clean and attack conditions. The paper states that OpenVLA is the victim model evaluated in SimplerEnv, and the public OpenVLA-7B Hugging Face repository is ungated and lists safetensors shards and model/config files. I found no separate PVEP learned-policy checkpoint, but no separate learned policy is needed for the tracked OpenVLA victim-model result.",high,"Paper evaluates OpenVLA in the SimplerEnv simulator across six predefined tasks, but reports attack failure rates rather than a canonical suite success average.",high,otherwise,"Reports failure rates under physical attacks on a selected six-task SimplerEnv subset, not a standard VM, VA, or WidowX/Bridge success-rate suite."
