ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
341,Towards Generalist Robot Learning from Internet Video: A Survey,2024,Journal of Artificial Intelligence Research,Journal of Artificial Intelligence Research,derived from Venue/status/DOI metadata,medium,2404.19664,,2024-04-30,arXiv API published date,10.1613/jair.1.17400,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4396600885; OpenAlex: W4396600885,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Conference on Robot Learning. https://api.semanticscholar.org/CorpusID:247618840. [189] S. Narang and A. Chowdhery. 2022. Pathways language model (palm): scaling to 540 billion parameters for breakthrough performance. (2022). [190] S. Nasiriany, A. Maddukuri, L. Zhang, A. Parikh, A. Lo, A. Joshi, A. Mandlekar, and Y. Zhu. 2024. Robocasa: large-scale simulation of everyday tasks for generalist robots. (2024). [191] S. Nasiriany et al. 2024. Pivot: iterative visual prompting elicits actionable knowledge for vlms. ArXiv, abs/2402.07872. https://api.sem anticscholar.org/CorpusID:267627797. [192] A. v. d. Oord, Y. Li, and O. Vinyals. 2018. Representation learning with contrastive predictive codin",high,,
342,VLABench: A Large-Scale Benchmark for Language-Conditioned Robotics Manipulation with Long-Horizon Reasoning Tasks,2024,IEEE International Conference on Computer Vision,IEEE International Conference on Computer Vision,derived from Venue/status/DOI metadata,medium,2412.18194,,2024-12-24,arXiv API published date,10.1109/ICCV51701.2025.01037,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/93657d550dd636b5bc284d9803b20646aafc37bf,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"VLABench Table 1 compares RoboCasa benchmark properties and inherits assets; experiments are on VLABench, not RoboCasa.",high,,
343,"VLM See, Robot Do: Human Demo Video to Robot Action Plan via Vision Language Model",2024,IEEE/RJS International Conference on Intelligent RObots and Systems,IEEE/RJS International Conference on Intelligent RObots and Systems,derived from Venue/status/DOI metadata,medium,2410.08792,,2024-10-11,arXiv API published date,10.1109/IROS60139.2025.11246682,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/d0f1f53dd18091b2002e4e339478fb739bc4091d,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Full text unavailable from harvested sources.,low,,
344,What Foundation Models can Bring for Robot Learning in Manipulation : A Survey,2024,The international journal of robotics research,The international journal of robotics research,derived from Venue/status/DOI metadata,medium,2404.18201,,2024-04-28,arXiv API published date,10.48550/arXiv.2404.18201,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/f85842ac60ab2613d8de7d4881cbdf605b3efb72,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Survey/background citation only.,medium,,
345,WorldAPIs: The World Is Worth How Many APIs? A Thought Experiment,2024,AAAI Conference on Artificial Intelligence,AAAI Conference on Artificial Intelligence,derived from Venue/status/DOI metadata,medium,2407.07778,,2024-07-10,arXiv API published date,10.48550/arXiv.2407.07778,OpenAlex citation graph; OpenAlex term search: RoboCasa; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph; CORE term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W4400601224; OpenAlex: W4400601224, W4409348052; https://doi.org/10.1609/aaai.v39i23.34683; http://arxiv.org/abs/2407.07778",citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Thought experiment/API discussion; no RoboCasa evaluation result.,medium,,
346,MCU: An Evaluation Framework for Open-Ended Game Agents,2023,International Conference on Machine Learning,International Conference on Machine Learning,derived from Venue/status/DOI metadata,medium,2310.08367,,2023-10-12,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/dee45635aba5d1df5dbb55620800e7570ed2d6fe,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Mentions RoboCasa365 as environment/source in game-agent framework context; no RoboCasa result found.,medium,,
347,Identificacion de criterios de diseno para el desarrollo de mecanismos planos utilizados en rehabilitacion de dedos,2020,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/427731108.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
348,Audience mood estimation for the Waseda Anthropomorphic Saxophonist 5 (WAS-5) using cloud cognitive services,2017,Open Archive Toulouse Archive Ouverte (University of Toulouse),Open Archive Toulouse Archive Ouverte (University of Toulouse),derived from Venue/status/DOI metadata,medium,,,n/a,n/a,,OpenAlex term search: RoboCasa; CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W2899812201; OpenAlex: W2899812201; https://core.ac.uk/download/163104765.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
349,Comparison of gait event detection from shanks and feet in single-task and multi-task walking of healthy older adults,2017,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/288368214.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
350,Step sequence and direction detection of four square step test,2017,CORE term search result,IEEE Robotics and Automation Letters,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1109/lra.2017.2723929,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/157767420.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
351,Angular sway propagation in One Leg Stance and quiet stance with Inertial Measurement Units for older adults,2015,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/288373472.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
352,Automatic discrimination of laughter using distributed sEMG,2015,article,unknown article venue,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1109/acii.2015.7344644,OpenAlex term search: RoboCasa; CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W2181376205; OpenAlex: W2181376205; https://core.ac.uk/download/79499855.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
353,Development of an ultra-miniaturized inertial measurement unit for jaw movement analysis during free chewing,2015,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/288376462.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
354,Reliability of the step phase detection using inertial measurement units: pilot study,2015,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,10.1049/htl.2014.0103,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/288376482.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
355,Sensors for Robotic Hands: A Survey of State of the Art,2015,IEEE Access,IEEE Access,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1109/access.2015.2482543,OpenAlex term search: RoboCasa; CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W2128316619; OpenAlex: W2128316619; https://core.ac.uk/download/pdf/214474387.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
356,Lambda,2014,National Archive of Doctoral Theses (National Documentation Center (Greece)),National Archive of Doctoral Theses (National Documentation Center (Greece)),derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.12681/eadd/31572,OpenAlex term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W4253285295; OpenAlex: W4253285295,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
357,A Comparison between Two Force-Position Controllers with Gravity Compensation Simulated on a Humanoid Arm,2013,Journal of Robotics,Journal of Robotics,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1155/2013/256364,OpenAlex term search: RoboCasa; CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W1975163349; OpenAlex: W1975163349; https://core.ac.uk/download/572833031.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
358,A methodology for the performance evaluation of inertial measurement units,2013,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,10.1007/s10846-012-9772-8,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/288374685.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
359,Determinantes de la confianza en la policia: una comparacion entre Argentina y Mexico,2012,Perfiles Latinoamericanos,Perfiles Latinoamericanos,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.18504/pl2040-097-2012,OpenAlex term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W1209878092; OpenAlex: W1209878092,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
360,A Role for the Motor System in Binding Abstract Emotional Meaning,2011,Cerebral Cortex,Cerebral Cortex,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1093/cercor/bhr238,OpenAlex term search: RoboCasa; CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W2165250892; OpenAlex: W2165250892; https://core.ac.uk/download/pdf/8741521.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
361,Baseline adaptive wavelet thresholding technique for sEMG denoising,2011,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,10.1063/1.3596644,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/288376467.pdf; https://dspace.lboro.ac.uk/dspace-jspui/bitstream/2134/17576/1/2010%20CMLS%20-Luca-%20Baseline%20Adaptive%20Wavelet.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
362,Brain response to a humanoid robot in areas implicated in the perception of human emotional gestures,2010,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,10.1371/journal.pone.0011577,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/288378439.pdf; https://core.ac.uk/download/1831729.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
363,Development of Passive Adaptive Grasp Human Like Hand Robot,2010,The Abstracts of the international conference on advanced mechatronics toward evolutionary fusion of IT and mechatronics ICAM,The Abstracts of the international conference on advanced mechatronics toward evolutionary fusion of IT and mechatronics ICAM,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1299/jsmeicam.2010.5.468,OpenAlex term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W2176157089; OpenAlex: W2176157089,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
364,Bioinstrumentation System WB-1 R to Analyze Surgeon ' s Performance during Laparoscopy - towards the development of a Global Performance Index - M,2007,preprint/unknown,n/a,n/a,n/a,,,n/a,n/a,,Semantic Scholar term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://www.semanticscholar.org/paper/af7df8d54e9b8f262b83b1041f2de596a097656f,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
365,Design and Development of Five-fingered Hands for a Humanoid Emotion Expression Robot,2007,Int. J. Humanoid Robotics,Int. J. Humanoid Robotics,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1142/S0219843607000996,OpenAlex term search: RoboCasa; Semantic Scholar term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W2037123812; OpenAlex: W2037123812,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
366,Using the Waseda Bioinstrumentation System WB-1R to analyze Surgeon's performance during laparoscopy - towards the development of a global performance index -,2007,CORE term search result,IEEE/RSJ International Conference on Intelligent Robots and Systems,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1109/iros.2007.4399579,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/54934783.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
367,2P2-A05 Evolutionary Design of a Fuzzy Classifier for EMG-based Control : Control of a Multi-DoFs Underactuated Hand Prosthesis,2006,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1299/JSMERMD.2006._2P2-A05_1,OpenAlex term search: RoboCasa; Semantic Scholar term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W218228490; OpenAlex: W218228490,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
368,From the Human Hand to a Humanoid Hand: Biologically-Inspired Approach for the Development of RoboCasa Hand #1,2006,book-chapter,book-chapter,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1007/3-211-38927-X_37,OpenAlex term search: RoboCasa; Semantic Scholar term search: RoboCasa; CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://openalex.org/W138280951; OpenAlex: W138280951,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
369,Non-formal Therapy and Learning Potentials through Human Gesture Synchronised to Robotic Gesture,2006,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,10.1007/s10209-007-0081-0,CORE term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://core.ac.uk/download/60360493.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
370,"Romansy 16 : robot design, dynamics, and control",2006,preprint/unknown,n/a,n/a,n/a,,,n/a,n/a,,Semantic Scholar term search: RoboCasa,term match; manual audit: predates RoboCasa 2024 or unrelated historical RoboCasa term,term-only,https://www.semanticscholar.org/paper/3a57f1d5d2312fe8d4e3d2df5a552914bc60cdf3,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
